GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,BUS ID,C0,C1,C2,Csu,capex1,capex2,capex3,fuel_cost1,fuel_cost2,fuel_cost3,fixed_ops1,fixed_ops2,fixed_ops3,var_ops1,var_ops2,var_ops3
19,32,WIND,W,,,1.0,643.2999894,0.0,332.25,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,7357064.468,22071193.4,-29428257.87,,32.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
20,32,WIND,W,,,1.0,780.1999894,0.0,408.91,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,10821547.08,32464641.25,-43286188.33,,32.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
21,50,PV,S,,,1.0,114.3333333,0.0,7.31,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,232393.0864,697179.2593,-929572.3457,,50.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
22,50,PV,S,,,1.0,406.3333333,0.0,25.96,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,2935231.605,8805694.815,-11740926.42,,50.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
23,50,WIND,W,,,1.0,108.7999816,0.0,12.52,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,210443.3065,631329.9196,-841773.2261,,50.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
24,50,WIND,W,,,1.0,192.4999756,0.0,30.35,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,658777.6109,1976332.833,-2635110.444,,50.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
25,100,CT,G,,,1.0,914.6,274.38,512.18,-58.53,1.0,2.0,242.73,,,,,,,38,2.29,0.3,0.533333333,0.766666667,1.0,,15176.76856,2836.674723,2900.314766,-5736.989489,,100.0,2010.0,29.22,0.0016,38.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
26,100,COAL,C,,,1.0,1530.0,459.0,712.98,-186.66,12.0,12.0,40.57,,,,,,,360,1.78,0.3,0.533333333,0.766666667,1.0,,309438.2022,4205.780899,4434.902697,-8640.683596,,100.0,1862.0,18.93,0.0016,360.0,3009.084047,2863.00038,2715.719307,19.27003,19.73475,18.93942,73.16,71.08,69.84,7.85,7.56,7.44
27,100,CT,G,,,1.0,535.5,160.65,299.88,-34.27,1.0,2.0,31.05,,,,,,,58,2.29,0.3,0.533333333,0.766666667,1.0,,13562.8821,2637.26345,2659.080047,-5296.343497,,100.0,3361.0,47.62,0.0016,58.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
28,100,CT,G,,,1.0,25.7,7.71,14.39,-1.64,1.0,2.0,2.66,,,,,,,33,2.29,0.3,0.533333333,0.766666667,1.0,,370.349345,139.1914494,139.2416992,-278.4331486,,100.0,272.0,53.12,0.0016,33.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
29,100,PV,S,,,1.0,13.33333333,0.0,2.04,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,3160.493827,9481.481481,-12641.97531,,100.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
30,26,PV,S,,,1.0,926.6666667,0.0,59.21,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,15265975.31,45797925.93,-61063901.23,,26.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
31,26,WIND,W,,,1.0,124.9999837,0.0,15.97,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,277777.7054,833333.1161,-1111110.821,,26.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
32,101,PV,S,,,1.0,9.333333333,0.0,1.08,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1548.641975,4645.925926,-6194.567901,,101.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
33,91,PV,S,,,1.0,5.0,0.0,0.58,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,444.4444444,1333.333333,-1777.777778,,91.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
34,91,PV,S,,,1.0,8.0,0.0,0.92,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1137.777778,3413.333333,-4551.111111,,91.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
35,91,PV,S,,,1.0,8.0,0.0,0.92,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1137.777778,3413.333333,-4551.111111,,91.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
36,15,PV,S,,,1.0,20.0,0.0,2.3,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,7111.111111,21333.33333,-28444.44444,,15.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
37,33,PV,S,,,1.0,9.333333333,0.0,1.08,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1548.641975,4645.925926,-6194.567901,,33.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
38,33,PV,S,,,1.0,12.0,0.0,1.38,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,2560.0,7680.0,-10240.0,,33.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
39,33,PV,S,,,1.0,8.0,0.0,0.92,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1137.777778,3413.333333,-4551.111111,,33.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
40,33,PV,S,,,1.0,8.0,0.0,0.92,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1137.777778,3413.333333,-4551.111111,,33.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
41,70,WIND,W,,,1.0,115.9999881,0.0,25.34,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,239217.7286,717653.1858,-956870.9143,,70.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
42,49,PV,S,,,1.0,105.0,0.0,12.1,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,196000.0,588000.0,-784000.0,,49.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
43,17,PV,S,,,1.0,60.0,0.0,6.91,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,64000.0,192000.0,-256000.0,,17.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
44,17,CT,G,,,1.0,108.0,32.4,41.47,-5.29,1.0,2.0,19.34,,,,,,,35,2.29,0.3,0.533333333,0.766666667,1.0,,1650.655022,509.5462009,510.433593,-1019.979794,,17.0,558.0,46.16,0.0016,35.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
45,61,CT,G,,,1.0,54.9,16.47,21.08,-2.69,1.0,2.0,11.8,,,,,,,14,2.29,0.3,0.533333333,0.766666667,1.0,,335.6331878,164.3662847,164.5955893,-328.961874,,61.0,226.0,29.31,0.0016,14.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
46,61,PV,S,,,1.0,50.0,0.0,5.76,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,44444.44444,133333.3333,-177777.7778,,61.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
47,61,CT,G,,,1.0,60.0,18.0,23.04,-2.94,1.0,2.0,6.49,,,,,,,44,2.29,0.3,0.533333333,0.766666667,1.0,,1152.838428,273.580786,273.8546725,-547.4354585,,61.0,13.0,44.67,0.0016,44.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
48,61,CT,G,,,1.0,44.0,13.2,16.9,-2.16,1.0,2.0,12.11,,,,,,,35,2.29,0.3,0.533333333,0.766666667,1.0,,672.489083,106.3817952,106.5290853,-212.9108805,,61.0,295.0,23.67,0.0016,35.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
49,79,CT,G,,,1.0,639.0,191.7,297.77,-77.96,1.0,2.0,144.2,,,,,,,7,2.29,0.3,0.533333333,0.766666667,1.0,,1953.275109,1901.317991,1932.382879,-3833.70087,,79.0,1971.0,28.35,0.0016,7.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
50,79,CT,G,,,1.0,595.0,178.5,333.2,-38.08,1.0,2.0,72.21,,,,,,,45,2.29,0.3,0.533333333,0.766666667,1.0,,11692.13974,2641.066715,2668.000786,-5309.067501,,79.0,2753.0,42.77,0.0016,45.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
51,91,CT,G,,,1.0,242.0,72.6,135.52,-15.49,1.0,2.0,46.43,,,,,,,59,2.29,0.3,0.533333333,0.766666667,1.0,,6234.934498,1340.470995,1344.926519,-2685.397513,,91.0,235.0,54.04,0.0016,59.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
52,26,WIND,W,,,1.0,132.4999847,0.0,17.57,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,312111.039,936333.117,-1248444.156,,26.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
53,26,WIND,W,,,1.0,210.4999834,0.0,34.19,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,787737.6537,2363212.961,-3150950.615,,26.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
54,59,CT,G,,,1.0,1152.8,345.84,645.57,-73.78,1.0,2.0,52.9,,,,,,,46,2.29,0.3,0.533333333,0.766666667,1.0,,23156.68122,6322.604035,6423.709819,-12746.31385,,59.0,1817.0,52.29,0.0016,46.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
55,59,WIND,W,,,1.0,622.9999846,0.0,320.88,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,6900070.77,20700212.31,-27600283.08,,59.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
56,26,PV,S,,,1.0,273.3333333,0.0,17.47,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1328197.531,3984592.593,-5312790.123,,26.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
57,26,PV,S,,,1.0,260.0,0.0,16.61,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1201777.778,3605333.333,-4807111.111,,26.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
58,26,PV,S,,,1.0,500.0,0.0,31.95,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,4444444.444,13333333.33,-17777777.78,,26.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
59,26,PV,S,,,1.0,491.6666667,0.0,31.42,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,4297530.864,12892592.59,-17190123.46,,26.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
60,71,CT,G,,,1.0,201.6,60.48,42.94,-29.03,1.0,2.0,27.97,,,,,,,16,2.29,0.3,0.533333333,0.766666667,1.0,,1408.558952,1156.871769,1159.963838,-2316.835607,,71.0,447.0,56.05,0.0016,16.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
61,71,CT,G,,,1.0,201.0,60.3,42.81,-28.94,1.0,2.0,45.25,,,,,,,55,2.29,0.3,0.533333333,0.766666667,1.0,,4827.510917,890.0350218,893.1087127,-1783.143734,,71.0,166.0,43.19,0.0016,55.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
62,71,CT,G,,,1.0,283.2,84.96,60.32,-40.78,1.0,2.0,59.13,,,,,,,25,2.29,0.3,0.533333333,0.766666667,1.0,,3091.703057,1236.405855,1242.507607,-2478.913462,,71.0,456.0,42.47,0.0016,25.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
63,93,WIND,W,,,1.0,169.9999881,0.0,25.56,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,513777.706,1541333.118,-2055110.824,,93.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
64,93,WIND,W,,,1.0,199.9999882,0.0,31.95,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,711111.0271,2133333.081,-2844444.108,,93.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
65,25,WIND,W,,,1.0,138.0000138,0.0,40.04,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,338560.068,1015680.204,-1354240.272,,25.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
66,112,CT,G,,,1.0,24.9,7.47,0.0,0.0,1.0,2.0,2.02,,,,,,,61,2.29,0.3,0.533333333,0.766666667,1.0,,663.2751092,130.263752,130.3109221,-260.574674,,112.0,311.0,51.31,0.0016,61.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
67,14,PV,S,,,1.0,533.3333333,0.0,34.08,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,5056790.123,15170370.37,-20227160.49,,14.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
68,74,WIND,W,,,1.0,34.00008831,0.0,17.89,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,20551.21786,61653.65359,-82204.87145,,74.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
69,91,PV,S,,,1.0,5.0,0.0,0.58,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,444.4444444,1333.333333,-1777.777778,,91.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
70,57,CT,G,,,1.0,191.1,57.33,107.02,-12.23,1.0,2.0,20.31,,,,,,,41,2.29,0.3,0.533333333,0.766666667,1.0,,3421.441048,1024.884599,1027.662965,-2052.547564,,57.0,27.0,52.38,0.0016,41.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
71,57,CT,G,,,1.0,861.0,258.3,482.16,-55.1,1.0,2.0,147.96,,,,,,,32,2.29,0.3,0.533333333,0.766666667,1.0,,12031.44105,2715.045066,2771.444451,-5486.489516,,57.0,3313.0,29.8,0.0016,32.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
72,57,CT,G,,,1.0,450.0,135.0,252.0,-28.8,1.0,2.0,54.05,,,,,,,75,2.29,0.3,0.533333333,0.766666667,1.0,,14737.99127,1261.375546,1276.781659,-2538.157205,,57.0,831.0,26.91,0.0016,75.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
73,57,CT,G,,,1.0,56.0,16.8,0.0,0.0,1.0,2.0,10.68,,,,,,,66,2.29,0.3,0.533333333,0.766666667,1.0,,1613.973799,213.6580689,213.8966544,-427.5547233,,57.0,306.0,37.37,0.0016,66.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
