GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,C0,C1,C2,Csu,BUS ID
12,62,CT,G,,,1,260.0,78.0,145.6,-16.64,1,2,63.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4972738826228253,0.3,0.5333333333333333,0.7666666666666666,1.0,,17056.275892957117,15228.529839883551,15652.401746724887,16076.273653566226,,413,33.14,0.008,12,62
13,62,CT,G,,,1,497.9,149.37,278.82,-31.87,1,2,20.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2797986372326344,0.3,0.5333333333333333,0.7666666666666666,1.0,,25974.82578269781,17816.302765647742,18628.0174672489,19439.732168850074,,3108,37.48,0.008,70,62
14,110,CT,G,,,1,22.0,6.6,12.32,-1.41,1,2,3.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.165097354526605,0.3,0.5333333333333333,0.7666666666666666,1.0,,43903.03559613603,10531.295487627374,10567.16157205239,10603.02765647744,,505,23.97,0.008,12,110
15,110,CT,G,,,1,50.1,15.03,28.06,-3.21,1,2,7.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.181493668823822,0.3,0.5333333333333333,0.7666666666666666,1.0,,22749.92975330271,19298.68995633188,19380.366812227076,19462.04366812227,,122,43.86,0.008,44,110
16,110,CT,G,,,1,203.2,60.96,94.69,-24.79,1,2,53.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0769369945137293,0.3,0.5333333333333333,0.7666666666666666,1.0,,23100.363419638048,21172.343522561863,21503.615720524027,21834.887918486176,,322,47.13,0.008,76,110
18,32,CT,G,,,1,432.0,129.6,241.92,-27.65,1,2,29.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9734327218493661,0.3,0.5333333333333333,0.7666666666666666,1.0,,33023.56353442234,23423.5807860262,24127.860262008733,24832.13973799126,,3088,50.76,0.008,75,32
21,50,PV,S,,,1,59.91943859312277,0.0,7.31,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,50
22,50,PV,S,,,1,215.83,0.0,25.96,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,50
23,50,WIND,W,,,1,103.57,0.0,12.52,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,50
24,50,WIND,W,,,1,177.55192224389248,0.0,30.35,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,50
25,100,CT,G,,,1,914.6,274.38,512.18,-58.53,1,2,242.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4784505587435817,0.3,0.5333333333333333,0.7666666666666666,1.0,,16917.313022993323,15422.416302765649,16913.467248908302,18404.518195050943,,2010,29.22,0.008,38,100
26,100,COAL,C,,,1,1530.0,459.0,712.98,-186.66,12,12,40.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7587703713706954,0.3,0.5333333333333333,0.7666666666666666,1.0,,18071.14880908668,24960.674157303372,32983.14606741573,41005.617977528076,,1862,18.93,0.02,360,100
27,100,CT,G,,,1,535.5,160.65,299.88,-34.27,1,2,31.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0200220980660284,0.3,0.5333333333333333,0.7666666666666666,1.0,,30491.902791198965,22353.711790393012,23226.72489082969,24099.73799126637,,3361,47.62,0.008,58,100
28,100,CT,G,,,1,25.7,7.71,14.39,-1.64,1,2,2.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9798015537235574,0.3,0.5333333333333333,0.7666666666666666,1.0,,38629.05616819307,23271.324599708874,23313.222707423578,23355.120815138296,,272,53.12,0.008,33,100
30,26,PV,S,,,1,49.8,0.0,59.21,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,26
31,26,WIND,W,,,1,5.85,0.0,15.97,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,26
32,101,PV,S,,,1,9.29,0.0,1.08,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,101
41,70,WIND,W,,,1,116.0,0.0,25.34,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,70
44,17,CT,G,,,1,108.0,32.4,41.47,-5.29,1,2,19.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.113799726962457,0.3,0.5333333333333333,0.7666666666666666,1.0,,27791.014070839396,20471.61572052402,20647.685589519642,20823.755458515287,,558,46.16,0.008,35,17
45,61,CT,G,,,1,54.9,16.47,21.08,-2.69,1,2,11.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7595003100148268,0.3,0.5333333333333333,0.7666666666666666,1.0,,18848.76796504429,12958.951965065502,13048.454148471617,13137.956331877731,,226,29.31,0.008,14,61
47,61,CT,G,,,1,60.0,18.0,23.04,-2.94,1,2,6.49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1585296472154427,0.3,0.5333333333333333,0.7666666666666666,1.0,,19884.813197476957,19681.222707423578,19779.039301310044,19876.855895196517,,13,44.67,0.008,44,61
48,61,CT,G,,,1,44.0,13.2,16.9,-2.16,1,2,12.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.178951086381972,0.3,0.5333333333333333,0.7666666666666666,1.0,,20141.521767897313,10464.337700145563,10536.069868995633,10607.802037845706,,295,23.67,0.008,35,61
49,79,CT,G,,,1,639.0,191.7,297.77,-77.96,1,2,144.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.601193842379638,0.3,0.5333333333333333,0.7666666666666666,1.0,,17539.42800910265,14240.174672489084,15281.921397379923,16323.668122270736,,1971,28.35,0.008,7,79
50,79,CT,G,,,1,595.0,178.5,333.2,-38.08,1,2,72.21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1172155595178657,0.3,0.5333333333333333,0.7666666666666666,1.0,,26035.357723875575,20409.024745269293,21379.039301310047,22349.053857350802,,2753,42.77,0.008,45,79
51,91,CT,G,,,1,242.0,72.6,135.52,-15.49,1,2,46.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9382174988021085,0.3,0.5333333333333333,0.7666666666666666,1.0,,25265.37755482575,24302.765647743807,24697.292576419208,25091.819505094623,,235,54.04,0.008,59,91
52,26,WIND,W,,,1,6.2,0.0,17.57,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,26
53,26,WIND,W,,,1,9.86,0.0,34.19,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,26
54,59,CT,G,,,1,1152.8,345.84,645.57,-73.78,1,2,52.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8706067694496622,0.3,0.5333333333333333,0.7666666666666666,1.0,,26336.504202665343,26190.101892285307,28069.484716157196,29948.867540029103,,1817,52.29,0.008,46,59
55,59,WIND,W,,,1,623.0,0.0,320.88,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,59
56,26,PV,S,,,1,10.23,0.0,17.47,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,26
57,26,PV,S,,,1,9.73,0.0,16.61,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,26
58,26,PV,S,,,1,25.117613134994727,0.0,31.95,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,26
59,26,PV,S,,,1,26.42,0.0,31.42,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,26
60,71,CT,G,,,1,201.6,60.48,42.94,-29.03,1,2,27.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9097628881067706,0.3,0.5333333333333333,0.7666666666666666,1.0,,27914.72184099258,25062.88209606987,25391.54585152839,25720.209606986886,,447,56.05,0.008,16,71
61,71,CT,G,,,1,201.0,60.3,42.81,-28.94,1,2,45.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1725787379294856,0.3,0.5333333333333333,0.7666666666666666,1.0,,20273.05770999442,19445.414847161574,19773.100436681223,20100.78602620087,,166,43.19,0.008,55,71
62,71,CT,G,,,1,283.2,84.96,60.32,-40.78,1,2,59.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.177125461021687,0.3,0.5333333333333333,0.7666666666666666,1.0,,21186.42429625244,19370.305676855896,19831.999999999993,20293.69432314411,,456,42.47,0.008,25,71
66,112,CT,G,,,1,24.9,7.47,0.0,0.0,1,2,2.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.014354868288134,0.3,0.5333333333333333,0.7666666666666666,1.0,,40612.64605437763,22478.60262008734,22519.19650655022,22559.790393013103,,311,51.31,0.008,61,112
70,57,CT,G,,,1,191.1,57.33,107.02,-12.23,1,2,20.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9731787229283928,0.3,0.5333333333333333,0.7666666666666666,1.0,,23279.30026804138,23429.694323144107,23741.240174672486,24052.786026200858,,27,52.38,0.008,41,57
71,57,CT,G,,,1,861.0,258.3,482.16,-55.1,1,2,147.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4691877096229604,0.3,0.5333333333333333,0.7666666666666666,1.0,,19516.40660211967,15519.65065502183,16923.31877729258,18326.98689956332,,3313,29.8,0.008,32,57
72,57,CT,G,,,1,450.0,135.0,252.0,-28.8,1,2,54.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7457349114008696,0.3,0.5333333333333333,0.7666666666666666,1.0,,14910.722950024263,13061.135371179036,13794.759825327517,14528.384279475975,,831,26.91,0.008,75,57
73,57,CT,G,,,1,56.0,16.8,0.0,0.0,1,2,10.68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3834212982425151,0.3,0.5333333333333333,0.7666666666666666,1.0,,24331.30380536494,16481.804949053854,16573.100436681223,16664.39592430859,,306,37.37,0.008,66,57
75,98,CT,G,,,1,114.0,34.2,0.0,0.0,1,2,19.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.133834540253371,0.3,0.5333333333333333,0.7666666666666666,1.0,,16180.687964452616,10685.589519650655,10871.441048034932,11057.292576419211,,447,23.71,0.008,35,98
76,44,CT,G,,,1,453.5,136.05,211.33,-55.33,1,2,134.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4199129224075413,0.3,0.5333333333333333,0.7666666666666666,1.0,,17508.218690469886,16058.22416302766,16797.554585152837,17536.885007278015,,715,33.75,0.008,59,44
77,119,WIND,W,,,1,19.07,0.0,31.95,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,119
78,119,WIND,W,,,1,14.4,0.0,21.56,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,119
79,119,WIND,W,,,1,8.3,0.0,7.99,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,119
80,119,WIND,W,,,1,13.47,0.0,19.49,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,119
81,119,WIND,W,,,1,17.63,0.0,28.76,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,119
82,119,WIND,W,,,1,12.42,0.0,17.15,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,119
83,119,WIND,W,,,1,27.78,0.0,51.33,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,119
85,91,CT,G,,,1,168.0,50.4,94.08,-10.75,1,2,22.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.507359445727482,0.3,0.5333333333333333,0.7666666666666666,1.0,,14969.582033686836,15126.637554585159,15400.524017467247,15674.410480349348,,18,33.52,0.008,77,91
88,94,WIND,W,,,1,30.64,0.0,25.69,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,94
89,94,WIND,W,,,1,29.45,0.0,24.28,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,94
90,94,WIND,W,,,1,36.751336554480915,0.0,36.25,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,94
91,94,WIND,W,,,1,235.65,0.0,156.66,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,94
92,94,WIND,W,,,1,46.92,0.0,49.52,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,94
93,111,NUC,N,,,1,2708.6,812.58,996.76,-222.11,48,48,135.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24695244815196907,0.3,0.5333333333333333,0.7666666666666666,1.0,,24529.82044795459,29877.830567038938,34557.33942123774,39236.84827543653,,0,17.44,0.003,1200,111
94,91,CT,G,,,1,63.1,18.93,29.4,-7.7,1,2,6.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2587775317015155,0.3,0.5333333333333333,0.7666666666666666,1.0,,23048.200084429653,18113.82823871907,18216.698689956324,18319.569141193606,,219,41.06,0.008,71,91
96,22,WIND,W,,,1,14.0,0.0,31.86,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,22
97,22,WIND,W,,,1,98.21,0.0,141.11,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,22
98,19,CT,G,,,1,150.0,45.0,31.95,-21.6,1,2,7.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.139079524784924,0.3,0.5333333333333333,0.7666666666666666,1.0,,11204.754973313926,10659.38864628821,10903.930131004368,11148.471615720522,,85,23.41,0.008,55,19
100,36,CT,G,,,1,618.7,185.61,346.47,-39.6,1,2,52.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8577448396705799,0.3,0.5333333333333333,0.7666666666666666,1.0,,27521.612501585114,26582.823871906843,27591.475982532746,28600.128093158663,,889,56.75,0.008,7,36
101,26,PV,S,,,1,0.7,0.0,3.14,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,26
105,74,CT,G,,,1,249.0,74.7,53.04,-35.86,1,2,18.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5047530605187318,0.3,0.5333333333333333,0.7666666666666666,1.0,,14975.352472480898,15152.838427947598,15558.777292576418,15964.71615720523,,49,33.04,0.008,47,74
106,50,PV,S,,,1,212.47,0.0,25.56,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,50
107,120,CT,G,,,1,150.0,45.0,31.95,-21.6,1,2,13.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9462655164914826,0.3,0.5333333333333333,0.7666666666666666,1.0,,25670.06307617661,24096.069868995626,24340.611353711796,24585.152838427948,,191,54.18,0.008,52,120
108,94,CT,G,,,1,169.5,50.85,36.1,-24.41,1,2,31.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1336285540599218,0.3,0.5333333333333333,0.7666666666666666,1.0,,21128.812630693064,20113.537117903932,20389.868995633187,20666.200873362443,,155,44.93,0.008,62,94
109,77,WIND,W,,,1,18.77953231329404,0.0,31.95,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,77
111,70,PV,S,,,1,32.58,0.0,3.69,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,70
112,82,CT,G,,,1,250.0,75.0,140.0,-16.0,1,2,15.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0063265681613773,0.3,0.5333333333333333,0.7666666666666666,1.0,,24107.714701601166,22657.933042212517,23065.50218340612,23473.071324599703,,329,50.22,0.008,56,82
113,30,WIND,W,,,1,46.94,0.0,42.6,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,30
114,30,CT,G,,,1,165.6,49.68,35.27,-23.85,1,2,7.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1179969852689275,0.3,0.5333333333333333,0.7666666666666666,1.0,,22872.610200479576,20394.75982532751,20664.733624454148,20934.70742358078,,317,45.6,0.008,78,30
115,30,WIND,W,,,1,52.82748802867576,0.0,42.6,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,30
117,30,WIND,W,,,1,3.0,0.0,12.78,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,30
118,93,CT,G,,,1,225.0,67.5,47.93,-32.4,1,2,24.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.054088560188828,0.3,0.5333333333333333,0.7666666666666666,1.0,,12660.844250363903,11100.436681222705,11467.24890829695,11834.06113537117,,306,23.92,0.008,71,93
121,53,CT,G,,,1,1097.4,329.22,511.39,-133.88,1,2,119.29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1771785372892054,0.3,0.5333333333333333,0.7666666666666666,1.0,,19778.647462349145,19369.432314410482,21158.497816593885,22947.563318777287,,1850,37.04,0.008,8,53
122,81,CT,G,,,1,243.3,72.99,113.38,-29.68,1,2,67.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.635191381686083,0.3,0.5333333333333333,0.7666666666666666,1.0,,15542.879420582229,13944.104803493448,14340.751091703054,14737.397379912663,,343,30.31,0.008,21,81
123,50,PV,S,,,1,3.14,0.0,1.02,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,50
124,98,CT,G,,,1,44.0,13.2,0.0,0.0,1,2,8.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0605605524712256,0.3,0.5333333333333333,0.7666666666666666,1.0,,24957.057033214238,21499.27219796215,21571.004366812227,21642.73653566228,,107,48.94,0.008,6,98
125,50,WIND,W,,,1,165.82,0.0,26.45,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,50
126,50,PV,S,,,1,159.35,0.0,19.17,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,50
127,50,PV,S,,,1,204.5,0.0,24.6,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,50
128,50,WIND,W,,,1,218.77,0.0,42.49,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,50
129,48,CT,G,,,1,126.5,37.95,26.94,-18.22,1,2,35.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3463239673399225,0.3,0.5333333333333333,0.7666666666666666,1.0,,20808.17232511176,16935.953420669575,17142.183406113534,17348.413391557497,,357,37.94,0.008,51,48
