GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,C0,C1,C2,Csu
28,100,CT,G,,,1,25.7,7.71,14.39,-1.64,1,2,2.66,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,370.34934497816596,139.19144939349823,139.24169919068407,139.29194898787014,,272,53.12,0.0016,33
29,100,PV,S,,,1,13.33333333333333,0.0,2.04,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,3160.4938271604915,9481.481481481474,15802.469135802465,,0,0.0,0.0016,0
30,26,PV,S,,,1,926.6666666666667,0.0,59.21,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,15265975.308641978,45797925.92592593,76329876.5432099,,0,0.0,0.0016,0
31,26,WIND,W,,,1,124.9999837054529,0.0,15.97,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,277777.70535757317,833333.1160727193,1388888.526787866,,0,0.0,0.0016,0
32,101,PV,S,,,1,9.333333333333334,0.0,1.08,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,1548.641975308642,4645.925925925926,7743.209876543213,,0,0.0,0.0016,0
33,91,PV,S,,,1,5.0,0.0,0.58,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,444.44444444444434,1333.333333333333,2222.2222222222226,,0,0.0,0.0016,0
34,91,PV,S,,,1,8.0,0.0,0.92,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,1137.7777777777778,3413.333333333333,5688.888888888889,,0,0.0,0.0016,0
35,91,PV,S,,,1,8.0,0.0,0.92,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,1137.7777777777778,3413.333333333333,5688.888888888889,,0,0.0,0.0016,0
36,15,PV,S,,,1,20.0,0.0,2.3,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,7111.1111111111095,21333.33333333333,35555.55555555556,,0,0.0,0.0016,0
37,33,PV,S,,,1,9.333333333333334,0.0,1.08,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,1548.641975308642,4645.925925925926,7743.209876543213,,0,0.0,0.0016,0
38,33,PV,S,,,1,12.0,0.0,1.38,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,2560.0,7680.0,12800.0,,0,0.0,0.0016,0
39,33,PV,S,,,1,8.0,0.0,0.92,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,1137.7777777777778,3413.333333333333,5688.888888888889,,0,0.0,0.0016,0
40,33,PV,S,,,1,8.0,0.0,0.92,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,1137.7777777777778,3413.333333333333,5688.888888888889,,0,0.0,0.0016,0
41,70,WIND,W,,,1,115.999988072925,0.0,25.34,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,239217.7285852221,717653.1857556663,1196088.6429261104,,0,0.0,0.0016,0
42,49,PV,S,,,1,105.0,0.0,12.1,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,196000.0,588000.0,980000.0,,0,0.0,0.0016,0
43,17,PV,S,,,1,60.0,0.0,6.91,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,63999.99999999999,191999.99999999997,320000.00000000006,,0,0.0,0.0016,0
44,17,CT,G,,,1,108.0,32.4,41.47,-5.29,1,2,19.34,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,1650.655021834061,509.5462008733624,510.4335930131005,511.32098515283843,,558,46.16,0.0016,35
45,61,CT,G,,,1,54.9,16.47,21.08,-2.69,1,2,11.8,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,335.6331877729258,164.36628471615714,164.5955893100437,164.8248939039301,,226,29.31,0.0016,14
46,61,PV,S,,,1,50.0,0.0,5.76,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,44444.44444444443,133333.33333333328,222222.22222222222,,0,0.0,0.0016,0
47,61,CT,G,,,1,60.0,18.0,23.04,-2.94,1,2,6.49,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,1152.8384279475983,273.5807860262009,273.85467248908304,274.12855895196515,,13,44.67,0.0016,44
48,61,CT,G,,,1,44.0,13.2,16.9,-2.16,1,2,12.11,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,672.4890829694323,106.38179524502672,106.52908529839883,106.67637535177103,,295,23.67,0.0016,35
49,79,CT,G,,,1,639.0,191.7,297.77,-77.96,1,2,144.2,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,1953.2751091703055,1901.3179912663757,1932.38287860262,1963.4477659388658,,1971,28.35,0.0016,7
50,79,CT,G,,,1,595.0,178.5,333.2,-38.08,1,2,72.21,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,11692.139737991267,2641.066715186803,2668.0007860262003,2694.934856865599,,2753,42.77,0.0016,45
51,91,CT,G,,,1,242.0,72.6,135.52,-15.49,1,2,46.43,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,6234.934497816594,1340.4709946627845,1344.9265187772924,1349.3820428918007,,235,54.04,0.0016,59
52,26,WIND,W,,,1,132.4999846941916,0.0,17.57,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,312111.03900375124,936333.1170112537,1560555.1950187557,,0,0.0,0.0016,0
53,26,WIND,W,,,1,210.4999834245312,0.0,34.19,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,787737.653719607,2363212.961158821,3938688.268598038,,0,0.0,0.0016,0
54,59,CT,G,,,1,1152.8,345.84,645.57,-73.78,1,2,52.9,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,23156.681222707422,6322.604034546335,6423.709818783114,6524.815603019895,,1817,52.29,0.0016,46
55,59,WIND,W,,,1,622.9999845890748,0.0,320.88,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,6900070.769741996,20700212.30922599,34500353.84871,,0,0.0,0.0016,0
56,26,PV,S,,,1,273.3333333333334,0.0,17.47,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,1328197.5308641982,3984592.592592595,6640987.654320994,,0,0.0,0.0016,0
57,26,PV,S,,,1,260.0,0.0,16.61,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,1201777.7777777775,3605333.3333333326,6008888.888888891,,0,0.0,0.0016,0
58,26,PV,S,,,1,500.0,0.0,31.95,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,4444444.444444444,13333333.33333333,22222222.22222222,,0,0.0,0.0016,0
59,26,PV,S,,,1,491.6666666666667,0.0,31.42,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,4297530.864197531,12892592.592592591,21487654.320987657,,0,0.0,0.0016,0
60,71,CT,G,,,1,201.6,60.48,42.94,-29.03,1,2,27.97,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,1408.5589519650655,1156.8717694323143,1159.9638380436677,1163.0559066550218,,447,56.05,0.0016,16
61,71,CT,G,,,1,201.0,60.3,42.81,-28.94,1,2,45.25,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,4827.510917030568,890.0350218340612,893.1087126637556,896.1824034934497,,166,43.19,0.0016,55
62,71,CT,G,,,1,283.2,84.96,60.32,-40.78,1,2,59.13,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,3091.703056768559,1236.4058550218338,1242.5076071965063,1248.6093593711792,,456,42.47,0.0016,25
63,93,WIND,W,,,1,169.9999881214527,0.0,25.56,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,513777.70597856096,1541333.1179356829,2568888.529892805,,0,0.0,0.0016,0
64,93,WIND,W,,,1,199.9999881797006,0.0,31.95,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,711111.0270556512,2133333.0811669533,3555555.135278256,,0,0.0,0.0016,0
65,25,WIND,W,,,1,138.0000138498937,0.0,40.04,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,338560.0679568151,1015680.2038704453,1692800.339784076,,0,0.0,0.0016,0
66,112,CT,G,,,1,24.9,7.47,0.0,0.0,1,2,2.02,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,663.2751091703057,130.2637519650655,130.3109220611353,130.35809215720525,,311,51.31,0.0016,61
67,14,PV,S,,,1,533.3333333333334,0.0,34.08,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,5056790.123456789,15170370.370370368,25283950.61728396,,0,0.0,0.0016,0
68,74,WIND,W,,,1,34.00008830590619,0.0,17.89,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,20551.217863278558,61653.653589835674,102756.08931639277,,0,0.0,0.0016,0
69,91,PV,S,,,1,5.0,0.0,0.58,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,444.44444444444434,1333.333333333333,2222.2222222222226,,0,0.0,0.0016,0
70,57,CT,G,,,1,191.1,57.33,107.02,-12.23,1,2,20.31,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,3421.4410480349343,1024.8845991266378,1027.6629650305674,1030.4413309344975,,27,52.38,0.0016,41
71,57,CT,G,,,1,861.0,258.3,482.16,-55.1,1,2,147.96,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,12031.441048034934,2715.045065502183,2771.4444506550212,2827.843835807861,,3313,29.8,0.0016,32
72,57,CT,G,,,1,450.0,135.0,252.0,-28.8,1,2,54.05,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,14737.991266375546,1261.3755458515282,1276.781659388647,1292.1877729257637,,831,26.91,0.0016,75
73,57,CT,G,,,1,56.0,16.8,0.0,0.0,1,2,10.68,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,1613.9737991266375,213.6580688985929,213.8966544395924,214.13523998059196,,306,37.37,0.0016,66
74,19,WIND,W,,,1,217.6000261932161,0.0,124.7,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,841773.7137651257,2525321.141295377,4208868.5688256305,,0,0.0,0.0016,0
75,98,CT,G,,,1,114.0,34.2,0.0,0.0,1,2,19.7,1,1,1,1,1,1,1,2.29,0.30000000000000004,0.5333333333333333,0.7666666666666666,1.0,,1742.35807860262,277.1743231441048,278.1630532751092,279.1517834061135,,447,23.71,0.0016,35
76,44,CT,G,,,1,453.5,136.05,211.33,-55.33,1,2,134.28,1,1,1,1,1,1,1,2.29,0.30000000000000004,0.5333333333333333,0.7666666666666666,1.0,,11684.06113537118,1587.4656380397862,1603.1123342066949,1618.7590303736065,,715,33.75,0.0016,59
77,119,WIND,W,,,1,199.9999772775151,0.0,31.95,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,711110.9495290053,2133332.848587016,3555554.747645027,,0,0.0,0.0016,0
78,119,WIND,W,,,1,151.1999769835146,0.0,21.56,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,406425.47626338387,1219276.4287901516,2032127.3813169198,,0,0.0,0.0016,0
79,119,WIND,W,,,1,87.49998256511147,0.0,7.99,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,136111.05686924106,408333.17060772324,680555.2843462055,,0,0.0,0.0016,0
80,119,WIND,W,,,1,141.4999814852966,0.0,19.49,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,355951.0179615871,1067853.0538847614,1779755.0898079355,,0,0.0,0.0016,0
81,119,WIND,W,,,1,184.9999773299124,0.0,28.76,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,608444.2953256551,1825332.8859769655,3042221.476628277,,0,0.0,0.0016,0
82,119,WIND,W,,,1,130.4999825838063,0.0,17.15,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,302759.91918886657,908279.7575665998,1513799.5959443327,,0,0.0,0.0016,0
83,119,WIND,W,,,1,290.9999775719367,0.0,51.33,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,1505439.7679443143,4516319.303832943,7527198.839721569,,0,0.0,0.0016,0
84,42,WIND,W,,,1,1.808070581387118e-05,0.0,16.05,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,5.811767515160089e-09,1.743530254548027e-08,2.9058837575800444e-08,,0,0.0,0.0016,0
85,91,CT,G,,,1,168.0,50.4,94.08,-10.75,1,2,22.97,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,5648.908296943231,577.6265502183408,579.7738200873363,581.921089956332,,18,33.52,0.0016,77
86,91,PV,S,,,1,25.33333333333333,0.0,0.0,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,11409.382716049378,34228.14814814814,57046.91358024688,,0,0.0,0.0016,0
87,91,PV,S,,,1,129.3333333333333,0.0,0.0,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,297370.8641975306,892112.5925925917,1486854.3209876535,,0,0.0,0.0016,0
88,94,WIND,W,,,1,170.5999841325928,0.0,25.69,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,517410.74819628283,1552232.2445888487,2587053.740981415,,0,0.0,0.0016,0
89,94,WIND,W,,,1,163.9999841055736,0.0,24.28,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,478151.0184289492,1434453.0552868475,2390755.092144746,,0,0.0,0.0016,0
90,94,WIND,W,,,1,220.199984363153,0.0,36.25,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,862009.4775739167,2586028.43272175,4310047.387869585,,0,0.0,0.0016,0
91,94,WIND,W,,,1,785.4999846514534,0.0,156.66,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,10969070.682443261,32907212.047329787,54845353.41221631,,0,0.0,0.0016,0
92,94,WIND,W,,,1,282.4999844536548,0.0,49.52,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,1418777.621623381,4256332.864870143,7093888.108116908,,0,0.0,0.0016,0
93,111,NUC,N,,,1,2708.6,812.58,996.76,-222.11,48,48,135.43,1,1,1,1,1,1,1,0.81035,0.30000000000000004,0.5333333333333333,0.7666666666666666,1.0,,4011007.58931326,16418.420776756273,17995.743866131917,19573.066955507562,,0,17.44,0.0016,1200
94,91,CT,G,,,1,63.1,18.93,29.4,-7.7,1,2,6.72,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,1956.3755458515286,264.53222261038337,264.8351417991266,265.1380609878701,,219,41.06,0.0016,71
95,82,WIND,W,,,1,119.9999867619931,0.0,26.88,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,255999.9435178403,767999.8305535208,1279999.7175892016,,0,0.0,0.0016,0
96,22,WIND,W,,,1,99.60002575431464,0.0,31.86,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,176358.49120462468,529075.473613874,881792.4560231236,,0,0.0,0.0016,0
97,22,WIND,W,,,1,612.5000265020816,0.0,141.11,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,6669445.021600899,20008335.0648027,33347225.108004503,,0,0.0,0.0016,0
98,19,CT,G,,,1,150.0,45.0,31.95,-21.6,1,2,7.1,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,3602.6200873362445,360.85152838427945,362.56331877729235,364.2751091703059,,85,23.41,0.0016,55
99,19,WIND,W,,,1,42.00002267048929,0.0,19.6,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,31360.033854606463,94080.1015638194,156800.1692730324,,0,0.0,0.0016,0
100,36,CT,G,,,1,618.7,185.61,346.47,-39.6,1,2,52.67,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,1891.222707423581,3629.567376613295,3658.689852786024,3687.8123289587616,,889,56.75,0.0016,7
101,26,PV,S,,,1,18.66666666666667,0.0,3.14,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,6194.56790123457,18583.703703703708,30972.83950617285,,0,0.0,0.0016,0
102,74,WIND,W,,,1,80.50009646431697,0.0,27.8,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,115204.72054692154,345614.1616407646,576023.6027346078,,0,0.0,0.0016,0
103,74,WIND,W,,,1,70.0000947194203,0.0,25.56,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,87111.34685738335,261334.04057215006,435556.73428691697,,0,0.0,0.0016,0
